X,Y,FID,OBJECTID,LOCN,CATEGORY,CAT_DESC,MPD_NAME,ADDRESS,CITY,ZIP,MPD_TYPE,MAP_TYPE,SITE_POLY,MAP_POLY,LABEL,MAP_DESC,MPD_DESC,PLANREF1,INDEXCHTR,PHASE,CAL,ORIGNAME,CONFIG,CONGRESS,ASSEMBLY,BOE,LACOUNCIL,SENATE,SUPERVISOR,FULLNAME,CDSCODE,CHARTER,P_ESC,ESC,SCHOOL_ID,CCC,DLP,LD,P_LD,PREFCCC,PREFLOCN,ACTIVE,SCH_FLAG,SITE_ID,COS,COS_CCC,COSID,COS_ID,LOGRD,HIGRD,PIC_NAME,PHY_COS,LATITUDE,LONGITUDE,BSYS_TYP,BSYS_CLAS,YEAROPENED,PSC,PROP39,BOE_OLD,TYPEWEB,REGION,PHY_REGION,LAUSD_SCH,WEBLABEL,PRIORITY
-13160206.5787089,4038027.52680748,1,269,9500, , ,ALBION ST EEC,348 S AVE 18,LOS ANGELES,90031,Z,ES,Y,ES_Y,Albion St EEC,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Early Education Center,0,N,3, ,Albion St, ,34,54,2,1,26,1,Albion Street Early Education Center, ,N,EAST,E,9500,1950001,N,E,E,1950001,9500,Yes,N,16685,Lincoln Heights/El Sereno CoS,1350101,3501,3501,0,0,Albion St EEC,Lincoln Heights/El Sereno CoS,34.06867307,-118.22013493,Z,Early Education Center,0, , ,2,ES,E,E,Yes,Albion St EEC, 
-13168947.234532,4039388.69029907,2,264,9501, , ,ALEXANDRIA AVE EEC,4304 ROSEWOOD AVE,LOS ANGELES,90004,Z,ES,Y,ES_Y,Alexandria Ave EEC,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Early Education Center,0,N,3, ,Alexandria Ave, ,34,54,2,13,26,3,Alexandria Avenue Early Education Center, ,N,EAST,E,9501,1950101,N,C,C,1950101,9501,Yes,N,16686,Downtown CoS,1348901,3487,3487,0,0,Alexandria Ave EEC,Downtown CoS,34.07880136,-118.29865357,Z,Early Education Center,0, , ,2,ES,E,E,Yes,Alexandria Ave EEC, 
-13192911.6468659,4066300.41039217,3,664,9314, , ,KENNEDY-SAN FERN AD,11254 GOTHIC AVE,GRANADA HILLS,91344,A,O,Y,O_Y,Rinaldi Adult Center,"Adult Education, Skill Center, Occupational Center, Opportunity School, Community Day School",Community Adult School,0,Y, , ,Rinaldi Adult Center, ,27,40,3,12,27,3,Rinaldi Adult Center, ,N,NORTH,N,9314,1931401,N,NW,NW,1931401,9314,Yes,N,13264, , ,0, ,0,0, ,Kennedy/NAHS/VAAS CoS,34.27879987,-118.51392949,A,Community Adult School,0, , ,3,O, ,N, ,Rinaldi Adult Center, 
-13164009.2824739,4036830.41669971,4,756,1400, , ,BSD-TRANSPORTATION OFFICE,115 N BEAUDRY AVE,LOS ANGELES,90012,X,A,N,A_N,Transportation Branch Office,"Administrative Site (Central Office, Local District Office, Resource Center, Science Center)",Central Office,0,Y, , ,Transportation Branch Office, ,34,52,2,1,26,1,Transportation Branch Office, ,N,EAST,E,1400,1140001,N,C,C,1140001,1400,Yes,N,0, , ,0, ,0,0, ,Downtown CoS,34.0597645,-118.2542952,X,Central Office,0, , ,2,A,ZA,E, ,Transportation Branch Office, 
-13168586.8475475,4034106.13467581,5,0,2941, , ,CASTELLANOS ES,1723 W CORDOVA ST,LOS ANGELES,90007,E,ES,Y,ES_Y,Castellanos,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,N, ,1 TRK,Central Region ES #15, ,34,54,5,1,26,2,Jose A. Castellanos Elementary School, ,N,EAST,E,2941,1294101,N,C,C,1294101,2941,Yes,N,0, , ,0, ,0,0, ,Manual Arts/Vermont Square CoS,34.03948763,-118.29541616,E,Elementary School,0, , ,2,ES, ,S, ,Castellanos, 
-13165208.2644758,4039027.74827961,6,0,2940, , ,CISNEROS LRNG ACAD,1018 MOHAWK ST,LOS ANGELES,90026,EJ,SS,Y,SS_Y,Cisneros Lrng Acad,"Span School (Span School, Special Ed School)",Span School,0,Y,Phase 2,1 TRK,Central Region ES #14, ,30,52,2,13,26,1,Sandra Cisneros Learning Academies, ,N,EAST,E,2940,1294001,N,C,C,1294001,2940,Yes,N,14583, , ,0, ,0,0, ,Downtown CoS,34.07611574,-118.26506583,EJ,Span Schools (Not Magnets),0, , ,5,SS, ,E, ,Cisneros Lrng Acad, 
-13156789.6744112,4022313.54962131,7,0,6874, , ,AZALEA ACAD,8929 KAUFMAN AVE,SOUTH GATE,90280,E,ES,Y,ES_Y,Azalea Acad,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Y, , ,South Region ES #4, ,44,62,5,SG,33,4,Azalea Academies, ,N,SOUTH,S,6874b,1687401,N,E,E,1687401,6874,Yes,N,193555, , ,0, ,0,0, ,South Gate CoS,33.95165932,-118.18944037,E,Elementary School,0, , ,5,ES, ,E, ,Azalea Acad, 
-13164354.7624225,4036370.05744074,8,518,0656, , ,ISIC,333 S BEAUDRY AVE 11TH FLOOR,LOS ANGELES,90071,X,A,Y,A_Y,ISIC,"Administrative Site (Central Office, Local District Office, Resource Center, Science Center)",Central Office,0,Y, , ,Beaudry Admin Office, ,34,54,2,1,26,1,Superintendent Intensive Support and Innovation Center, ,N,EAST,E,0656a,1065601,N,C,C,1065601,0656,Yes,N,13863, , ,0, ,0,0, ,MacArthur Park CoS,34.05633838,-118.2573987,X,Central Office,0, , ,2,A,ZA,E, ,ISIC, 
-13181331.0335053,4059132.1234755,9,0,1667, , ,EAST VALLEY SKILLS CTR,8601 ARLETA AVE,SUN VALLEY,91352,A,O,Y,O_Y,East Valley Skills Ctr,"Adult Education, Skill Center, Occupational Center, Opportunity School, Community Day School",Community Adult School,0,Y,Phase 5, ,Valley Region MS #3, ,29,43,6,6,20,3,East Valley Skills Center, ,N,NORTH,N,1667,1166701,N,NE,NE,1166701,1677,Yes,N,0, , ,0, ,0,0, ,Sun Valley CoS,34.22557399,-118.4098991,A,Community Adult School,0, , ,6,O, ,N, ,East Valley Skills Ctr, 
-13158684.240813,4044803.85845627,10,288,4817, , ,BUCHANAN ST ES DLC,5024 BUCHANAN ST,LOS ANGELES,90042,DS,ED,Y,ED_Y,Buchanan St DLC Sp,Spanish Dual Language Program,Dual Language Program,0,N, ,1 TRK,Buchanan,K-2,34,52,2,1,26,1,Buchanan Street Elementary Dual Language Spanish, ,N,EAST,E,4817,1260303,Y,C,C,1260301,2603,Yes,N,13350,Eagle Rock/Highland Park CoS,1349001,3490,3490,0,2,Buchanan St El DLC,Eagle Rock/Highland Park CoS,34.11908308,-118.20645954,ED,Dual Language (DLC) - Elem,2021, , ,5,ED,E,E, ,Buchanan St El DLC, 
