census_tract_id,census_tract_label,total_crimes,crime_vehicle___stolen,crime_battery___simple_ass,crime_burglary_from_vehicl,crime_theft_of_identity,crime_vandalism___felony_(,crime_burglary,crime_theft_plain___petty_,crime_assault_with_deadly_,crime_intimate_partner___s,crime_theft_from_motor_veh
101110.0,1011.1,640,69.0,53.0,38.0,64.0,34.0,54.0,29.0,18.0,32.0,32.0
101122.0,1011.22,256,23.0,13.0,14.0,37.0,13.0,20.0,20.0,6.0,15.0,18.0
101220.0,1012.2,505,62.0,29.0,20.0,51.0,45.0,32.0,30.0,24.0,24.0,17.0
101221.0,1012.21,365,69.0,35.0,24.0,38.0,18.0,27.0,16.0,10.0,18.0,19.0
101222.0,1012.22,487,57.0,45.0,37.0,43.0,33.0,24.0,31.0,13.0,48.0,20.0
101300.0,1013.0,606,47.0,36.0,30.0,43.0,26.0,126.0,39.0,17.0,10.0,21.0
101400.0,1014.0,494,59.0,23.0,42.0,39.0,36.0,64.0,18.0,21.0,13.0,29.0
102103.0,1021.03,405,57.0,19.0,33.0,40.0,23.0,44.0,20.0,19.0,7.0,33.0
102104.0,1021.04,319,38.0,18.0,9.0,36.0,18.0,29.0,17.0,14.0,7.0,20.0
102105.0,1021.05,215,41.0,18.0,15.0,23.0,12.0,11.0,7.0,4.0,9.0,16.0
102107.0,1021.07,487,74.0,31.0,48.0,51.0,22.0,33.0,17.0,15.0,18.0,18.0
103101.0,1031.01,225,25.0,8.0,20.0,27.0,12.0,13.0,10.0,12.0,6.0,15.0
103102.0,1031.02,755,85.0,52.0,23.0,52.0,59.0,86.0,33.0,39.0,28.0,27.0
103201.0,1032.01,535,67.0,37.0,34.0,54.0,32.0,52.0,27.0,19.0,22.0,26.0
103202.0,1032.02,435,55.0,38.0,29.0,38.0,25.0,28.0,16.0,25.0,23.0,22.0
103300.0,1033.0,465,53.0,19.0,25.0,35.0,24.0,55.0,25.0,14.0,22.0,21.0
103401.0,1034.01,484,74.0,22.0,45.0,38.0,24.0,53.0,28.0,5.0,24.0,41.0
103402.0,1034.02,361,58.0,19.0,25.0,37.0,23.0,17.0,23.0,7.0,11.0,24.0
104103.0,1041.03,382,64.0,32.0,12.0,39.0,21.0,11.0,13.0,16.0,35.0,24.0
104105.0,1041.05,589,67.0,36.0,37.0,79.0,37.0,14.0,26.0,52.0,44.0,29.0
104108.0,1041.08,947,143.0,83.0,59.0,66.0,58.0,37.0,30.0,62.0,71.0,49.0
104124.0,1041.24,429,63.0,36.0,21.0,42.0,26.0,22.0,13.0,27.0,24.0,23.0
104201.0,1042.01,627,75.0,58.0,10.0,54.0,52.0,22.0,17.0,40.0,44.0,24.0
104203.0,1042.03,599,93.0,55.0,23.0,32.0,38.0,13.0,22.0,46.0,43.0,23.0
104204.0,1042.04,738,79.0,44.0,32.0,45.0,38.0,37.0,39.0,45.0,41.0,34.0
104310.0,1043.1,665,101.0,58.0,12.0,50.0,35.0,15.0,15.0,47.0,51.0,28.0
104321.0,1043.21,451,52.0,41.0,15.0,53.0,33.0,5.0,12.0,33.0,42.0,21.0
